cluster,gene,score,logfoldchange,pval,pval_adj
5,hbba1-1,24.198109,13.111063,2.3291298873247142e-129,4.658259774649428e-126
5,hbaa1,24.066673,13.220039,5.585428323077879e-128,5.585428323077879e-125
5,hbba1,23.832727,12.932493,1.5296945535504177e-125,1.0197963690336118e-122
5,si:ch211-5k11.8,23.70387,12.660983,3.2890322920450197e-124,1.6445161460225099e-121
5,creg1,20.174755,8.12492,1.6317295024430163e-90,6.526918009772066e-88
5,si:ch211-250g4.3,17.870417,10.701854,2.0048813045081518e-71,6.682937681693839e-69
5,si:ch211-103n10.5,13.17939,11.225712,1.153201906118465e-39,3.2948625889099e-37
5,mibp,12.848172,6.647461,8.806636628709954e-38,2.2016591571774886e-35
5,hbba2,12.449494,10.955557,1.4073456286566072e-35,3.1274347303480165e-33
5,gpx1a,11.520988,4.558042,1.0341765059087646e-30,2.0683530118175293e-28
5,nt5c2l1,11.223208,10.050772,3.136785284168757e-29,5.703245971215922e-27
5,hemgn,10.584233,7.020138,3.526543869894155e-26,5.877573116490259e-24
5,epb41b,9.877327,9.041741,5.2206997120286945e-23,8.031845710813377e-21
5,alas2,8.580247,10.018593,9.466990048605219e-18,1.3524271498007455e-15
5,gstm.1,8.303635,2.8547714,1.0097412085490254e-16,1.3463216113987006e-14
5,cahz,7.48467,2.3757887,7.17269833651031e-14,6.8311412728669616e-12
5,hbaa2,7.252762,10.514015,4.083575424091433e-13,3.550935151383855e-11
5,si:ch73-55i23.1,6.6484513,10.381355,2.96193026073231e-11,2.1156644719516503e-09
5,mcl1a,6.4878087,2.0922983,8.709388141936818e-11,5.806258761291212e-09
5,zgc:163057,6.2808642,9.980069,3.366958989153781e-10,1.98056411126693e-08
5,txnipa,6.135856,3.063042,8.47018584184693e-10,4.840106195341102e-08
5,TCIM,4.7456636,7.154194,2.0782377462198883e-06,7.557228168072321e-05
5,blvrb,4.508369,4.466944,6.532790903347912e-06,0.00021775969677826374
5,gp9,4.4589887,9.2265835,8.234735299267415e-06,0.0002614201682307116
5,zgc:158463,4.4399123,0.32646537,8.999555310255949e-06,0.0002812361034454984
5,dnase1l4.1,4.2110133,5.3105097,2.5422754070502575e-05,0.0006690198439605941
5,hif1al2,4.068274,7.993927,4.736267607091665e-05,0.001169448791874485
5,si:dkey-188i13.9,3.7924025,5.6396728,0.0001491968933189537,0.0031082686108115354
5,gp1bb,3.776436,6.8786483,0.0001590883290946106,0.0032184869306646087
5,si:ch211-207c6.2,3.7119074,8.622161,0.00020570325516942347,0.003881193493762707
5,slc4a1a,3.5888846,8.165774,0.0003320958872042006,0.005877803313348683
5,tspo,3.4124608,4.9590354,0.0006437920992706451,0.010208434457412322
5,lmo2,2.9974456,5.0937834,0.002722523844553052,0.03147426409887922
5,slc20a1a,2.8339167,3.2529705,0.00459813045186062,0.04716031232677559
5,si:ch211-227m13.1,2.7341063,5.6346955,0.006254983590050595,0.06014407298125572
5,sptb,2.624943,5.828679,0.00866634601199979,0.07703418677333147
5,tal1,2.6159682,7.0973315,0.008897481854701014,0.07804808644474573
5,wnk4b,2.3567421,2.949135,0.018436045809265736,0.13168604149475524
5,si:dkey-188i13.10,2.2541459,3.345161,0.02418699234467694,0.16287536932442384
5,sgk2a,2.2222288,6.023235,0.026267849276737126,0.17245337884356576
5,selenoj,2.212112,3.0958664,0.02695893354158122,0.17345849841214572
5,impdh2,2.2072117,3.250093,0.027299274522464837,0.17499534950297974
5,rhag,2.1676009,8.16312,0.030189071862742722,0.18986837649523725
5,cox6a2,2.090185,5.785201,0.036601198415504056,0.21786427628276223
5,rell2,2.038165,8.003479,0.04153341416261783,0.23665763055622693
5,tfr1a,1.9198496,4.732994,0.0548768933118092,0.29035393286671535
5,si:ch211-262i1.3,1.8924315,6.9614067,0.05843351307480936,0.30355071727173694
5,zgc:163080,1.8837346,2.6367195,0.05960089118832293,0.3069095033506173
5,rbm24a,1.8480439,5.0959134,0.06459599668632893,0.32297998343164463
5,si:ch211-197g15.10,1.8089037,8.889346,0.07046595939398595,0.342900045712827
6,fabp7a,40.348194,3.12435,0.0,0.0
6,hmgn2,36.05815,2.8979504,1.0276936521263355e-284,1.0276936521263355e-281
6,si:ch211-222l21.1,32.286354,3.30878,1.0873351446209385e-228,7.24890096413959e-226
6,mdka,26.047155,2.3074095,1.448973935052468e-149,7.24486967526234e-147
6,rlbp1a,25.466486,2.7466223,4.6367014971465e-143,1.8546805988586e-140
6,crabp1a,23.175432,2.7557456,8.057071732374411e-119,2.6856905774581366e-116
6,glula,23.076466,1.8682019,7.979877654602522e-118,2.279965044172149e-115
6,marcksl1b,22.649006,1.8216403,1.4269323198704746e-113,3.567330799676187e-111
6,cahz,22.223795,2.3793213,2.0223610322056907e-109,4.494135627123757e-107
6,apoeb,21.675985,1.937602,3.45757876650628e-104,6.91515753301256e-102
6,stmn1b,20.234375,1.7004303,4.877766412147782e-91,8.868666203905058e-89
6,icn,19.564531,1.9527049,3.102400830941503e-85,5.170668051569172e-83
6,gfap,18.86487,2.825088,2.2181636141266795e-79,3.4125594063487377e-77
6,tubb5,18.615656,2.2700698,2.3990145468069866e-77,3.427163638295695e-75
6,id1,18.565664,2.7115607,6.092830595421899e-77,8.1237741272291995e-75
6,actb1,18.506933,1.5119454,1.815464770182903e-76,2.2693309627286286e-74
6,selenop,18.426275,2.1706698,8.086243102711922e-76,9.513227179661085e-74
6,gstm.1,18.138145,2.1474452,1.5931782694070417e-73,1.7701980771189353e-71
6,mt2,17.774454,1.640333,1.1147636798973579e-70,1.1734354525235346e-68
6,tmsb4x,17.149546,1.0436008,6.334649904986015e-66,6.334649904986015e-64
