group,n_egfp_pos,n_egfp_neg,gene,score,logfoldchange,pval,pval_adj
Muller glia,205,1602,COX7A2,8.670738,1.3858762,4.293259512143383e-18,7.773184861152937e-16
Muller glia,205,1602,znf593,8.665407,1.5001819,4.499003826051252e-18,8.081557030213166e-16
Muller glia,205,1602,mtch2,8.659152,1.0056802,4.7528463329703385e-18,8.408389751435652e-16
Muller glia,205,1602,ndufb6,8.658229,1.1481557,4.7915253043730975e-18,8.408389751435652e-16
Muller glia,205,1602,aldh9a1a.1,8.658229,1.1318864,4.7915253043730975e-18,8.408389751435652e-16
Muller glia,205,1602,usp32,8.652968,1.2896918,5.0176897727645935e-18,8.73805776992967e-16
Muller glia,205,1602,clic4,8.648988,1.052039,5.195816110303937e-18,8.97970855487604e-16
Muller glia,205,1602,vamp3,8.639178,1.2513456,5.6618532315852216e-18,9.71156825354539e-16
Muller glia,205,1602,zgc:154093,8.638112,1.6250503,5.714931035821064e-18,9.729456844789995e-16
Muller glia,205,1602,hdac5,8.634771,1.1660044,5.884442385726323e-18,9.943835862635155e-16
Muller glia,205,1602,zgc:110339,8.63008,1.2128961,6.130886868587633e-18,1.028411192155071e-15
Muller glia,205,1602,mcts1,8.627806,1.1593388,6.254015145175691e-18,1.0351466850360782e-15
Muller glia,205,1602,BX908782.2,8.627664,2.258658,6.261791195150958e-18,1.0351466850360782e-15
Muller glia,205,1602,dbpb,8.623825,1.1973482,6.4753900765961896e-18,1.0627559267438047e-15
Muller glia,205,1602,wwp2,8.620272,1.0573448,6.679571329591881e-18,1.087446152450444e-15
Muller glia,205,1602,sdhb,8.61956,1.1052897,6.7211637003249285e-18,1.087446152450444e-15
Muller glia,205,1602,tmem59,8.615864,1.2925601,6.941599651322508e-18,1.11328077618812e-15
Muller glia,205,1602,lancl1,8.614869,1.1849127,7.002157172573485e-18,1.11328077618812e-15
Muller glia,205,1602,plekhb2,8.613589,1.2830677,7.080783582442332e-18,1.11328077618812e-15
Muller glia,205,1602,gnai2a,8.613092,1.0401568,7.111595305914214e-18,1.11328077618812e-15
Muller glia,205,1602,si:ch211-286b5.5,8.612879,1.2184197,7.124840806709575e-18,1.11328077618812e-15
Muller glia,205,1602,zc3h15,8.609894,1.107086,7.312854715492644e-18,1.1348854056090728e-15
Muller glia,205,1602,epb41l5,8.609112,1.1725385,7.362900351794931e-18,1.134931390037147e-15
Muller glia,205,1602,pdcd6ip,8.607974,1.0451809,7.43629800763954e-18,1.1385521238139653e-15
Muller glia,205,1602,gar1,8.599232,1.4710473,8.025183254328767e-18,1.2205233705400145e-15
Muller glia,205,1602,uqcc2,8.597526,1.2315997,8.145341854553085e-18,1.230593931972977e-15
Muller glia,205,1602,npc1,8.594611,1.3321607,8.354733926670217e-18,1.2539246386126818e-15
Muller glia,205,1602,sfxn5b,8.592407,1.1299459,8.516573546708865e-18,1.2648550687014447e-15
Muller glia,205,1602,pfdn1,8.591839,1.0515631,8.55883843780354e-18,1.2648550687014447e-15
Muller glia,205,1602,prkar1ab,8.59127,1.1892171,8.601310328940137e-18,1.2648550687014447e-15
Muller glia,205,1602,fam169aa,8.590631,1.155748,8.649339881533571e-18,1.2648550687014447e-15
Muller glia,205,1602,ube2l3a,8.583167,1.2374849,9.229624584993946e-18,1.3411173608755854e-15
Muller glia,205,1602,mark3a,8.5815325,1.1821439,9.361775558158767e-18,1.35171003676124e-15
Muller glia,205,1602,ndufa7,8.580039,1.1270858,9.48406510530686e-18,1.3607545738828012e-15
Muller glia,205,1602,cab39l1,8.574495,1.0779775,9.952243555584378e-18,1.4190033264596652e-15
Muller glia,205,1602,mtap,8.571651,1.2897745,1.0201109399731879e-17,1.4436424932269705e-15
Muller glia,205,1602,atxn7,8.571083,1.1133531,1.0251614601445195e-17,1.4436424932269705e-15
Muller glia,205,1602,gng5,8.568524,1.1767645,1.0481958876618277e-17,1.4607808232426014e-15
Muller glia,205,1602,zswim8,8.568311,1.1666785,1.0501383203076607e-17,1.4607808232426014e-15
Muller glia,205,1602,ak1,8.565326,1.0446423,1.0777083024826961e-17,1.4900460305780453e-15
Muller glia,205,1602,fhod3b,8.564544,1.0739082,1.0850462800266046e-17,1.491154264231743e-15
Muller glia,205,1602,tmbim4,8.558715,1.2029365,1.1413236021757833e-17,1.5591027147566553e-15
Muller glia,205,1602,prkab1a,8.557436,1.221556,1.154057516673801e-17,1.5671139361832989e-15
Muller glia,205,1602,chmp4bb,8.552673,1.1597526,1.202700223846502e-17,1.6235029708053401e-15
Muller glia,205,1602,rcan1a,8.548195,1.169828,1.2502821006752896e-17,1.6747119573298614e-15
Muller glia,205,1602,efna1b,8.5476265,1.3810511,1.2564556395953418e-17,1.6747119573298614e-15
Muller glia,205,1602,nedd8l,8.547058,1.1586183,1.2626592585838608e-17,1.6747119573298614e-15
Muller glia,205,1602,eci2,8.544784,1.2102765,1.2877774364498436e-17,1.6977727452765684e-15
Muller glia,205,1602,si:dkey-172h23.2,8.544144,1.5989001,1.2949303365542581e-17,1.6977727452765684e-15
Muller glia,205,1602,CU929259.1,8.538813,1.1399834,1.3560827656040122e-17,1.7677894932413902e-15
Muller glia,205,1602,cd82a,8.536822,1.1715145,1.379636242809614e-17,1.7882750913190753e-15
Muller glia,205,1602,myl9b,8.534192,1.2574791,1.4113806485924232e-17,1.8122056180817292e-15
Muller glia,205,1602,erfl3,8.533979,1.1626756,1.413985885322175e-17,1.8122056180817292e-15
Muller glia,205,1602,tsc22d3,8.528079,1.2520789,1.487976290421138e-17,1.8963800621998556e-15
Muller glia,205,1602,chmp6b,8.524383,1.1560423,1.536264881000126e-17,1.930621029281323e-15
Muller glia,205,1602,hibadhb,8.523744,1.0946543,1.5447780889625867e-17,1.930621029281323e-15
Muller glia,205,1602,vps35,8.523104,1.0564753,1.5533378452377425e-17,1.930621029281323e-15
Muller glia,205,1602,ube2g2,8.52289,1.1900445,1.556201484742151e-17,1.930621029281323e-15
Muller glia,205,1602,BX284696.1,8.5228195,1.0182621,1.5571571883915463e-17,1.930621029281323e-15
Muller glia,205,1602,fosl2,8.521398,1.195526,1.5763933445194626e-17,1.943906019920135e-15
Muller glia,205,1602,add3a,8.514148,1.2371944,1.678205020684917e-17,2.058327480477689e-15
Muller glia,205,1602,eif4ebp3l,8.50974,1.4483862,1.7432329917265162e-17,2.1266510288907493e-15
Muller glia,205,1602,zgc:165604,8.508603,1.1959724,1.760414100743852e-17,2.1361876000143353e-15
Muller glia,205,1602,scp2b,8.504836,0.8940694,1.8185286462224914e-17,2.1800402712246357e-15
