cell_type,comparison,n_cells_test,n_cells_reference,gene,score,logfoldchange,pval,pval_adj
Cones,7dp_vs_ctrl,476,652,cabp5a,2.8549457,0.5017219,0.004304418333821055,0.12476574880640738
Cones,7dp_vs_ctrl,476,652,apoeb,2.8453226,0.57456833,0.0044366474922998,0.12497598569858592
Cones,7dp_vs_ctrl,476,652,txn,2.8453226,0.8909638,0.0044366474922998,0.12497598569858592
Cones,7dp_vs_ctrl,476,652,mdka,2.701067,0.5719387,0.006911741583712101,0.18680382658681355
Cones,7dp_vs_ctrl,476,652,arr3b,2.6465664,0.4869019,0.008131355453873668,0.21683614543663116
Cones,10dp_vs_ctrl,809,652,rcvrn3,11.043005,1.4754438,2.369731073789623e-28,4.739462147579246e-25
Cones,10dp_vs_ctrl,809,652,arr3a,10.545589,1.2937063,5.323813549843913e-26,5.323813549843913e-23
Cones,10dp_vs_ctrl,809,652,rbp4l,10.215829,1.0008712,1.684332112627146e-24,1.122888075084764e-21
Cones,10dp_vs_ctrl,809,652,fabp7a,9.879831,1.5937892,5.091839500633501e-23,2.5459197503167504e-20
Cones,10dp_vs_ctrl,809,652,rpgra,9.218502,2.3399155,3.0127820724972994e-20,1.2051128289989197e-17
Cones,10dp_vs_ctrl,809,652,hsp70l,8.93022,1.6318543,4.2516380883455396e-19,1.0629095220863849e-16
Cones,10dp_vs_ctrl,809,652,pde6c,8.903836,0.7529175,5.394897850791801e-19,1.1988661890648447e-16
Cones,10dp_vs_ctrl,809,652,pcloa,8.0998,1.1837097,5.504945852920649e-16,1.0008992459855726e-13
Cones,10dp_vs_ctrl,809,652,adarb1a,7.964578,2.0084414,1.6578845592743511e-15,2.763140932123918e-13
Cones,10dp_vs_ctrl,809,652,hsp70.1,7.712159,1.5637546,1.2370680958553345e-14,1.903181685931284e-12
Cones,10dp_vs_ctrl,809,652,lrmp,7.635442,1.3709633,2.2504762440028758e-14,3.214966062861251e-12
Cones,10dp_vs_ctrl,809,652,zbtb18,7.616044,1.2260512,2.6156858013321302e-14,3.4875810684428405e-12
Cones,10dp_vs_ctrl,809,652,es1,7.1180043,0.97299486,1.0950081998710927e-12,1.2882449410248147e-10
Cones,10dp_vs_ctrl,809,652,rp1l1b,7.0786476,0.82033706,1.4556780757295004e-12,1.6174200841438895e-10
Cones,10dp_vs_ctrl,809,652,hsp70.2,7.069479,1.4442561,1.5551630328386352e-12,1.6370137187775109e-10
Cones,10dp_vs_ctrl,809,652,hspa5,6.9759836,1.5137722,3.0373797724875766e-12,2.8927426404643586e-10
Cones,10dp_vs_ctrl,809,652,hsp70.3,6.9066887,1.4171294,4.9609754215752185e-12,4.3519719666486577e-10
Cones,10dp_vs_ctrl,809,652,icn,6.9054413,1.2836164,5.0047677616459564e-12,4.3519719666486577e-10
