cell_type,comparison,n_cells_test,n_cells_reference,gene,score,logfoldchange,pval,pval_adj
Rods,7dp_vs_ctrl,995,299,ppdpfa,6.0635066,0.51269007,1.3318549254537545e-09,2.959677612119455e-07
Rods,7dp_vs_ctrl,995,299,rbp3,5.964939,1.2068516,2.447249566261116e-09,4.894499132522232e-07
Rods,7dp_vs_ctrl,995,299,es1,5.4915175,1.6044654,3.984949669114116e-08,6.1306917986371015e-06
Rods,7dp_vs_ctrl,995,299,hmgn2,4.946266,1.84795,7.5650559863161e-07,9.456319982895125e-05
Rods,7dp_vs_ctrl,995,299,apoc1,4.8759365,2.946836,1.0829337892850085e-06,0.000127403975210001
Rods,7dp_vs_ctrl,995,299,arr3a,4.4154863,1.3075144,1.007831166451441e-05,0.0010042568082431684
Rods,7dp_vs_ctrl,995,299,tmsb4x,4.4056916,0.9820649,1.0544696486553269e-05,0.0010042568082431684
Rods,7dp_vs_ctrl,995,299,hsp70.3,4.205734,5.8012953,2.6023664502921568e-05,0.002081893160233725
Rods,7dp_vs_ctrl,995,299,pde6gb,3.925122,0.049265195,8.66858227229155e-05,0.005737898697316294
Rods,7dp_vs_ctrl,995,299,aplp2,3.293834,0.71845394,0.0009883088042529074,0.0581358120148769
Rods,7dp_vs_ctrl,995,299,gngt2a,3.248036,0.9420794,0.0011620458324106185,0.06455810180058992
Rods,7dp_vs_ctrl,995,299,FAT4,2.765878,1.7603369,0.005676976069703051,0.27767590292216926
Rods,7dp_vs_ctrl,995,299,si:ch211-222l21.1,2.6058059,2.8571315,0.009165839874626333,0.42631813370355043
Rods,7dp_vs_ctrl,995,299,hsp70.2,2.5788918,2.5097816,0.009911781496509325,0.4499520832851195
Rods,7dp_vs_ctrl,995,299,actb2,2.5715678,0.5407255,0.010123921873915188,0.4499520832851195
Rods,7dp_vs_ctrl,995,299,icn,2.5331821,1.9657978,0.011303220173956735,0.48098809250879726
Rods,7dp_vs_ctrl,995,299,hsp90aa1.2,2.4823544,0.48326525,0.013051740585441934,0.5438225243934139
Rods,7dp_vs_ctrl,995,299,apoeb,2.382552,1.090291,0.017193107480935856,0.6985115937069737
Rods,7dp_vs_ctrl,995,299,actb1,2.3099282,1.4990462,0.020892129296404882,0.8035434344771109
Rods,7dp_vs_ctrl,995,299,hsp70.1,2.19133,2.6107848,0.028427915965136462,1.0
Rods,7dp_vs_ctrl,995,299,ctsd,1.9837834,2.6549654,0.04728000042908134,1.0
Rods,7dp_vs_ctrl,995,299,marcksl1b,1.8412714,0.93368095,0.06558179405729014,1.0
Rods,7dp_vs_ctrl,995,299,ccm2l,1.6354012,3.071909,0.1019649534602081,1.0
Rods,7dp_vs_ctrl,995,299,zbtb18,1.6194293,1.0808191,0.10535491360599904,1.0
Rods,7dp_vs_ctrl,995,299,mb,1.6082225,0.8407901,0.10778644754322815,1.0
Rods,7dp_vs_ctrl,995,299,rcvrn3,1.5904858,1.0969213,0.11172535110010531,1.0
Rods,7dp_vs_ctrl,995,299,crabp1a,1.494213,1.8765749,0.13511995003948127,1.0
Rods,7dp_vs_ctrl,995,299,dnajb1b,1.4892714,1.2427756,0.13641590705325632,1.0
Rods,7dp_vs_ctrl,995,299,si:ch211-81a5.8,1.4454148,1.203989,0.14834140054520537,1.0
Rods,7dp_vs_ctrl,995,299,nr2e3,1.3575251,1.0506338,0.17461441215674278,1.0
Rods,7dp_vs_ctrl,995,299,cd74a,1.3387295,2.2509577,0.18065876564104344,1.0
Rods,7dp_vs_ctrl,995,299,stmn1b,1.2216314,0.8825143,0.22184703577413467,1.0
Rods,7dp_vs_ctrl,995,299,pik3ip1,1.1881875,1.0578068,0.23475956110232254,1.0
Rods,7dp_vs_ctrl,995,299,clu,1.1325064,0.4944761,0.257421618679025,1.0
Rods,7dp_vs_ctrl,995,299,arr3b,1.1165345,0.6991371,0.2641934443773779,1.0
Rods,7dp_vs_ctrl,995,299,stx1b,1.0810609,2.2467966,0.27967003736222196,1.0
Rods,7dp_vs_ctrl,995,299,fosab,1.0289977,26.394098,0.3034807557368533,1.0
Rods,7dp_vs_ctrl,995,299,tubb5,1.0099373,2.5901558,0.3125253381237696,1.0
Rods,7dp_vs_ctrl,995,299,insb,1.0092313,1.3021401,0.3128636981537366,1.0
Rods,7dp_vs_ctrl,995,299,si:dkey-190l8.2,0.9977598,1.0234779,0.31839584931101983,1.0
Rods,7dp_vs_ctrl,995,299,tyrp1b,0.9404021,3.3901842,0.34701136307116387,1.0
Rods,7dp_vs_ctrl,995,299,hspa5,0.91013485,1.6427685,0.36275140696540265,1.0
Rods,7dp_vs_ctrl,995,299,aqp1a.1,0.89098614,1.9867795,0.37293658759706194,1.0
Rods,7dp_vs_ctrl,995,299,zfhx3,0.88886833,3.3812947,0.37407383689930784,1.0
Rods,10dp_vs_ctrl,1601,299,mt-co2,16.58677,2.2817402,8.686959722742675e-62,1.737391944548535e-58
Rods,10dp_vs_ctrl,1601,299,guca1a,15.715643,3.5121994,1.1817667033347648e-55,1.1817667033347648e-52
Rods,10dp_vs_ctrl,1601,299,fabp7a,14.343154,4.141283,1.175882072024887e-46,7.839213813499246e-44
Rods,10dp_vs_ctrl,1601,299,rbp4l,13.006607,1.60692,1.1221421461431428e-38,5.610710730715714e-36
Rods,10dp_vs_ctrl,1601,299,rbp3,10.787853,2.0122716,3.928580031534505e-27,1.571432012613802e-24
Rods,10dp_vs_ctrl,1601,299,rho,10.708159,0.41767696,9.31965483118787e-27,3.1065516103959565e-24
Rods,10dp_vs_ctrl,1601,299,arr3a,8.637425,2.1083431,5.7493948853285385e-18,1.2776433078507865e-15
Rods,10dp_vs_ctrl,1601,299,pde6gb,7.915755,0.19927785,2.4575749842752854e-15,4.91514996855057e-13
Rods,10dp_vs_ctrl,1601,299,es1,7.870568,2.017601,3.5303508820329487e-15,6.418819785514452e-13
Rods,10dp_vs_ctrl,1601,299,ppdpfa,6.0031466,0.44345406,1.9352952788699296e-09,2.198778418879387e-07
Rods,10dp_vs_ctrl,1601,299,hmgn2,5.9995294,1.9787656,1.978900576991448e-09,2.198778418879387e-07
Rods,10dp_vs_ctrl,1601,299,gngt2b,5.60456,0.96791023,2.0878470275053678e-08,2.0878470275053676e-06
Rods,10dp_vs_ctrl,1601,299,tmsb4x,5.4884634,1.174467,4.054453145886411e-08,3.861383948463248e-06
Rods,10dp_vs_ctrl,1601,299,apoc1,4.2963777,2.5813565,1.7361173627621265e-05,0.001335474894432405
Rods,10dp_vs_ctrl,1601,299,hsp70l,4.1182137,3.1132033,3.818207553796129e-05,0.0028283018917008365
Rods,10dp_vs_ctrl,1601,299,gngt2a,4.042366,1.0428201,5.291453047512598e-05,0.0036492779638017917
Rods,10dp_vs_ctrl,1601,299,icn,3.4393759,2.2569964,0.0005830572427748809,0.036101431062092806
Rods,10dp_vs_ctrl,1601,299,rcvrn3,3.4335768,1.8180698,0.0005956736125245313,0.036101431062092806
Rods,10dp_vs_ctrl,1601,299,marcksl1b,3.4135382,1.4789547,0.0006412514845927999,0.03664294197673142
Rods,10dp_vs_ctrl,1601,299,hsp70.3,3.3841984,5.233151,0.0007138641355165195,0.03965911863980664
Rods,10dp_vs_ctrl,1601,299,pde6c,3.373404,0.9871697,0.0007424493006580226,0.04013239463016339
Rods,10dp_vs_ctrl,1601,299,gnat2,3.248293,0.82540107,0.0011609965419305801,0.05953828420156821
Rods,10dp_vs_ctrl,1601,299,actb2,3.1292107,0.6503671,0.0017527655560948205,0.08550075883389367
Rods,10dp_vs_ctrl,1601,299,actb1,2.7925766,1.560302,0.005229009231543975,0.2376822377974534
Rods,10dp_vs_ctrl,1601,299,stmn1b,2.7490547,1.5380864,0.005976741289291421,0.26563294619072986
Rods,10dp_vs_ctrl,1601,299,ifi45,2.5796754,1.8609543,0.009889322444174531,0.41205510184060545
Rods,10dp_vs_ctrl,1601,299,rbp5,2.5121534,2.0724823,0.011999693453973703,0.4799877381589481
Rods,10dp_vs_ctrl,1601,299,gnb3b,2.3223338,0.5623296,0.02021497444957906,0.7487027573918171
Rods,10dp_vs_ctrl,1601,299,aplp2,2.3038454,0.51350474,0.021231317047224543,0.772047892626347
Rods,10dp_vs_ctrl,1601,299,arr3b,2.2017586,1.0786932,0.027682364581299853,0.9545642959068914
Rods,10dp_vs_ctrl,1601,299,ctsd,2.1414711,2.6304986,0.032236069975161576,1.0
Rods,10dp_vs_ctrl,1601,299,si:ch211-222l21.1,2.1025999,2.5112097,0.03550075472863656,1.0
Rods,10dp_vs_ctrl,1601,299,guca1c,2.092265,1.6065735,0.036414822385334986,1.0
Rods,10dp_vs_ctrl,1601,299,rgrb,2.0237093,1.2698615,0.043000062405039674,1.0
Rods,10dp_vs_ctrl,1601,299,tubb5,1.9432112,3.5826488,0.051990650674190085,1.0
Rods,10dp_vs_ctrl,1601,299,mb,1.8724737,0.975139,0.0611410876215703,1.0
Rods,10dp_vs_ctrl,1601,299,rpe65a,1.8186743,2.3087795,0.06896113318963375,1.0
Rods,10dp_vs_ctrl,1601,299,si:ch211-81a5.8,1.7403579,1.3552401,0.08179619001558934,1.0
Rods,10dp_vs_ctrl,1601,299,si:ch211-251b21.1,1.6673813,1.4603107,0.09543861415504187,1.0
Rods,10dp_vs_ctrl,1601,299,rlbp1b,1.6285101,1.7513705,0.10341675559448724,1.0
