cell_type,comparison,n_cells_test,n_cells_reference,gene,score,logfoldchange,pval,pval_adj
Cones,7dp_vs_ctrl,476,652,tuba1a,5.8771873,1.4489439,4.172962842167992e-09,1.4874656455996624e-06
Cones,7dp_vs_ctrl,476,652,rpl36,5.871173,0.9464925,4.3272327633185444e-09,1.4957145610543326e-06
Cones,7dp_vs_ctrl,476,652,faua,5.864048,0.8979959,4.517173499195049e-09,1.5380638662259201e-06
Cones,7dp_vs_ctrl,476,652,rpl6,5.8280535,0.97169554,5.607766563404562e-09,1.8813232148668862e-06
Cones,7dp_vs_ctrl,476,652,rpl12,5.7708693,0.8473257,7.886364120726467e-09,2.4594345677437905e-06
Cones,7dp_vs_ctrl,476,652,marcksl1b,5.7329316,1.2922919,9.870942693966642e-09,2.9629712589139604e-06
Cones,7dp_vs_ctrl,476,652,rpl14,5.7175717,0.9890006,1.0805719942963595e-08,3.201440117647123e-06
Cones,7dp_vs_ctrl,476,652,h3f3b.1-1,5.6968446,1.2973315,1.2204506040526467e-08,3.5695050808016706e-06
Cones,7dp_vs_ctrl,476,652,rcvrn3,5.642159,0.87293833,1.6793099555693565e-08,4.753007227402873e-06
Cones,7dp_vs_ctrl,476,652,rpl15,5.6406784,0.93976223,1.693814544935379e-08,4.753007227402873e-06
Cones,7dp_vs_ctrl,476,652,rpl7a,5.639198,0.8325282,1.7084407690660395e-08,4.753007227402873e-06
Cones,7dp_vs_ctrl,476,652,ptmab,5.5945053,0.4754435,2.2125140745002422e-08,5.8171084136846945e-06
Cones,7dp_vs_ctrl,476,652,rps9,5.594043,0.83605325,2.2184212159320055e-08,5.8171084136846945e-06
Cones,7dp_vs_ctrl,476,652,tmsb4x,5.552404,0.7602643,2.8176743437152145e-08,7.304500545815362e-06
Cones,7dp_vs_ctrl,476,652,rps15a,5.540838,0.8526148,3.010281775872261e-08,7.716130129547627e-06
Cones,7dp_vs_ctrl,476,652,rps5,5.4956827,0.74312687,3.8920191835034274e-08,9.865403737029297e-06
Cones,10dp_vs_ctrl,809,652,ckbb,12.577602,1.0888976,2.8041019253493655e-36,2.1323325740998357e-32
Cones,10dp_vs_ctrl,809,652,macf1a,11.539048,1.774653,8.384750534859266e-31,3.825626279034889e-27
Cones,10dp_vs_ctrl,809,652,rcvrn3,11.043005,1.4754438,2.369731073789623e-28,7.722953569480381e-25
Cones,10dp_vs_ctrl,809,652,arg2,10.863624,1.8555683,1.7179449742695298e-27,4.898934837251348e-24
Cones,10dp_vs_ctrl,809,652,rpl31,10.573032,1.3578231,3.974304288756385e-26,1.0073978193266601e-22
Cones,10dp_vs_ctrl,809,652,arr3a,10.545589,1.2937063,5.323813549843913e-26,1.214521585125892e-22
Cones,10dp_vs_ctrl,809,652,ckmt2a,10.488145,1.3055148,9.793253062124851e-26,2.031031655511402e-22
Cones,10dp_vs_ctrl,809,652,si:dkey-151g10.6,10.471492,1.0005102,1.1678838787873e-25,2.220244577231223e-22
Cones,10dp_vs_ctrl,809,652,rbp4l,10.215829,1.0008712,1.684332112627146e-24,2.9557437296433144e-21
